"Thank you Senator TedCruz!"
"HillaryClinton’s Nuclear Agreement Paved The Way For The $400 Million Ransom Payment"
Nothing on emails. Nothing on the corrupt Clinton Foundation. And nothing on Benghazi
HillaryClinton - Obama ISIS Strategy Has Allowed It To Expand To Become A Global Threat 
"Russia has more warheads than ever, N Korea is testing nukes, and Iran got a sweetheart deal to keep theirs. Thanks, Hillary Clinton."
"Hillary Clinton failed all over the world."
Hillary Clinton is the only candidate on stage who voted for the Iraq War. 
"HillaryClinton's 2008 Campaign And Supporters Trafficked In Rumors About Obama's Heritage"
I will stand with police and protect ALL Americans! 
"This is the simple fact about @HillaryClinton: she is a typical politician - all talk, no action."
HILLARY'S BAD TAX HABIT!
A Clinton economy = more taxes and more spending!
HillaryClinton has been part of the rigged DC system for 30 years? Why would we take policy advice from her? 
"Instead of driving jobs and wealth away, AMERICA will become the world's great magnet for innovation and job creation"
Hillary Clinton channels John Kerry on trade: she was for bad trade deals before she was against them. 
Hillary Clinton and Obama policies increased debt by $9 trillion over the last 8 years
"Why isn't Hillary Clinton 50 points ahead?"
"My team of deplorables will be managing my Twitter account for this evenings debate. Tune in!"
"New national Bloomberg poll just released - thank you! Join the MOVEMENT"
